iter	Passed	Remaining
0	1356	1354690
1	2947	1470654
2	4413	1466736
3	5848	1456266
4	7268	1446389
5	8663	1435235
6	10087	1430945
7	11403	1414036
8	12939	1424809
9	14335	1419212
10	15462	1390202
11	16958	1396213
12	18406	1397482
13	19813	1395447
14	21265	1396422
15	22700	1396089
16	24084	1392622
17	25540	1393380
18	26953	1391674
19	28402	1391710
20	29847	1391483
21	31170	1385669
22	32673	1387921
23	34396	1398778
24	35884	1399507
25	37300	1397329
26	38707	1394897
27	40063	1390783
28	41469	1388507
29	41979	1357349
30	43396	1356478
31	44808	1355445
32	46369	1358773
33	47765	1357091
34	49212	1356852
35	50651	1356333
36	52087	1355676
37	53438	1352831
38	55007	1355438
39	55477	1331467
40	56896	1330813
41	58280	1329340
42	59695	1328580
43	61072	1326931
44	62473	1325830
45	63955	1326390
46	65485	1327832
47	66746	1323807
48	68192	1323498
49	69459	1319733
50	70845	1318279
51	70940	1293307
52	72430	1294183
53	73836	1293507
54	75191	1291932
55	76744	1293698
56	78042	1291125
57	79635	1293385
58	79845	1273473
59	81183	1271876
60	82881	1275833
61	84268	1274897
62	85805	1276183
63	87296	1276714
64	88638	1275037
65	90025	1273996
66	91561	1275021
67	92214	1263879
68	93716	1264487
69	95066	1263032
70	96598	1263946
71	97323	1254391
72	98759	1254105
73	100312	1255263
74	101707	1254387
75	103278	1255648
76	104715	1255223
77	106505	1258944
78	107982	1258888
79	109655	1261041
80	111058	1260030
81	111388	1247002
82	112728	1245448
83	114036	1243542
84	114375	1231219
85	115067	1222924
86	116621	1223856
87	118166	1224638
88	119534	1223551
89	119860	1211919
90	121296	1211629
91	121892	1203028
92	123313	1202633
93	124175	1196844
94	125591	1196427
95	127185	1197664
96	128830	1199319
97	129024	1187551
98	130442	1187156
99	132047	1188429
100	133468	1188005
101	134119	1180775
102	134311	1169683
103	135673	1168882
104	137270	1170064
105	138752	1170234
106	140182	1169934
107	141505	1168731
108	142985	1168808
109	143182	1158473
110	144490	1157226
111	144680	1147109
112	146390	1149100
113	147869	1149231
114	149320	1149120
115	150780	1149051
116	152315	1149529
117	152650	1140999
118	154132	1141096
119	155352	1139253
120	155672	1130878
121	156817	1128570
122	157022	1119580
123	157873	1115299
124	159395	1115767
125	160803	1115414
126	162279	1115514
127	163788	1115808
128	165215	1115522
129	166704	1115639
130	167966	1114222
131	169552	1114935
132	170900	1114065
133	172513	1114903
134	174348	1117121
135	175754	1116554
136	176964	1114748
137	178415	1114450
138	179696	1113086
139	180958	1111604
140	182281	1110497
141	183507	1108795
142	184695	1106880
143	186042	1105918
144	187473	1105449
145	188894	1104903
146	190491	1105370
147	191706	1103605
148	192985	1102216
149	194564	1102532
150	195798	1100881
151	197198	1100157
152	198426	1098479
153	199685	1096975
154	200972	1095622
155	202155	1093711
156	203740	1093967
157	205042	1092695
158	206262	1090988
159	207569	1089741
160	208793	1088059
161	210033	1086471
162	211234	1084683
163	212634	1083918
164	213935	1082641
165	215227	1081323
166	216695	1080882
167	217918	1079217
168	219110	1077399
169	220255	1075366
170	221499	1073817
